,CTA Station,Station_Location,Venue,Venue Latitude,Venue Longitude,Venue Category
0,18th,"[41.857908, -87.669147]",5 Rabanitos,41.8578084376222,-87.67094688480553,Mexican Restaurant
1,18th,"[41.857908, -87.669147]",The Jibarito Stop,41.85778931973265,-87.66810067090742,Latin American Restaurant
2,18th,"[41.857908, -87.669147]",Carnitas Uruapan,41.8575446,-87.6696718,Mexican Restaurant
3,18th,"[41.857908, -87.669147]",Canton Regio,41.857971550034044,-87.66425762356093,Mexican Restaurant
4,18th,"[41.857908, -87.669147]",Harrison Park,41.8572493626136,-87.67355500257112,Park
5,18th,"[41.857908, -87.669147]",National Museum of Mexican Art,41.856038040550246,-87.6728401511436,Museum
6,18th,"[41.857908, -87.669147]",Paleteria El Sabor De Mexico,41.85777576473315,-87.66781084836627,Ice Cream Shop
7,18th,"[41.857908, -87.669147]",Costco,41.86217798070477,-87.66735679371845,Warehouse Store
8,18th,"[41.857908, -87.669147]",Cafe Jumping Bean,41.857846248228036,-87.66274738367372,Coffee Shop
9,18th,"[41.857908, -87.669147]",Taquería Los Comales 3,41.85790261893226,-87.66559293272772,Mexican Restaurant
10,18th,"[41.857908, -87.669147]",Taqueria El Mezquite,41.85779366734564,-87.67079904951035,Mexican Restaurant
11,18th,"[41.857908, -87.669147]",Nuevo Leon Bakery,41.857807403431984,-87.66749862791477,Bakery
12,18th,"[41.857908, -87.669147]",Taqueria El Milagro,41.85546207157815,-87.66311041077833,Mexican Restaurant
13,18th,"[41.857908, -87.669147]",La Michoacana,41.85685376485575,-87.6617982574662,Dessert Shop
14,18th,"[41.857908, -87.669147]",La Mejikana,41.857133000000005,-87.66646300000001,Mexican Restaurant
15,18th,"[41.857908, -87.669147]",'L' Cafecito Jumping Bean,41.85472628907706,-87.67597945940587,Coffee Shop
16,18th,"[41.857908, -87.669147]",La Casa Del Pueblo,41.85739344680798,-87.66155426900038,Mexican Restaurant
17,18th,"[41.857908, -87.669147]",Thalia Hall,41.85783222480576,-87.65729185972937,Rock Club
18,18th,"[41.857908, -87.669147]",Parkview Grill,41.85595741201784,-87.67609790541768,Diner
19,18th,"[41.857908, -87.669147]",Meztisoy,41.857737857909335,-87.67086586575758,Food & Drink Shop
20,18th,"[41.857908, -87.669147]",Azul 18,41.8580501,-87.6580224,Latin American Restaurant
21,18th,"[41.857908, -87.669147]",S.K.Y.,41.85786076872874,-87.65781234154781,New American Restaurant
22,18th,"[41.857908, -87.669147]",Dusek's,41.8578788498557,-87.65752740620148,Bar
23,18th,"[41.857908, -87.669147]",Punch House,41.85788825591795,-87.65753530239756,Cocktail Bar
24,18th,"[41.857908, -87.669147]",La Cecina,41.85807,-87.66515,Mexican Restaurant
